id,longitude,latitude,name,
1576,2.194894,41.409022,Gran via ,
1577,2.192497,41.400556,Sancho de Ãvila,
1578,2.195008,41.402369,Sancho de Ãvila,
1579,2.197617,41.405633,Castella,
1580,2.202931,41.409844,Pere IV,
1581,2.204831,41.412394,Pere IV,
1582,2.212656,41.416031,Rambla Prim,
1583,2.166161,41.379700,Erasme de Jane,
1584,2.192994,41.395906,Pujades,
1585,2.203108,41.406547,Espronceda,
1586,2.216053,41.413186,Pujades,
1587,2.197453,41.399253,Pujades,
1588,2.200797,41.401758,Pujades,
1589,2.201667,41.402450,Pujades,
1590,2.207636,41.406986,Pujades,
1591,2.208561,41.408936,Diagonal,
1592,2.216303,41.411642,C/Llull,
1593,2.218733,41.411664,Rambla de Prim,
1594,2.216378,41.410936,Avda. Diagonal,
1595,2.219381,41.411028,C/ de Taulat,
1596,2.196306,41.395000,Ramon Turro,
1597,2.208775,41.404364,Ramon Turro,
1598,2.198950,41.392611,Avda. Icaria,
1599,2.178031,41.411939,IndependÃ¨ncia,
1600,2.204264,41.399183,Carrer del Doctor Trueta,
1601,2.207650,41.401075,Passeig de Taulat,
1602,2.211194,41.403453,Passeig de Taulat,
1603,2.213458,41.405164,Passeig de Taulat,
1604,2.200056,41.389900,Avda. Litoral,
1605,2.199933,41.389739,Avda. Litoral,
1606,2.203711,41.391978,Avda. Litoral/ Jaume Vicen i Vives,
1607,2.203464,41.391850,Avda. Litoral/ Jaume Vicen i Vives,
1608,2.209108,41.398206,Avda. Litoral,
1609,2.210314,41.400372,Passeig de Garcia Faria,
1610,2.212703,41.400169,Passeig marÃ­tim de la mar bella ,
1611,2.212647,41.402533,Passeig de Garcia Faria,
1612,2.181100,41.411058,RossellÃ³,
1613,2.216217,41.405378,Passeig de Garcia Faria,
1614,2.135672,41.365317,Rambla Badal,
1615,2.139650,41.368008,Gran Via,
1616,2.140169,41.368403,Gran Via,
1617,2.143933,41.371333,Gran Via,
1618,2.141878,41.372350,GavÃ ,
1619,2.134100,41.367506,Quetzal,
1620,2.137386,41.371036,Olzinelles,
1621,2.143619,41.375467,Consell de Cent,
1622,2.169842,41.376844,Carrer de Sant Pau,
1623,2.134664,41.375942,Joan GÃ¼ell,
1624,2.166175,41.396900,Bruc,
1625,2.207797,41.396075,Avinguda Litoral,
1626,2.149211,41.382647,Rocafort,
1627,2.132836,41.379797,Joan GÃ¼ell,
1628,2.128936,41.381308,Figols,
1629,2.131692,41.382272,Joan GÃ¼ell,
1630,2.136108,41.382333,Comtes de Bell-lloc,
1631,2.134628,41.384453,Comte Bell-lloch,
1632,2.139808,41.386403,Taquigraf Serra,
1633,2.133331,41.385139,Vallespir,
1634,2.126892,41.381792,MejÃ­a Lequerica,
1635,2.131308,41.383733,Can bruixa,
1636,2.135825,41.388456,Deu i Mata,
1637,2.128672,41.385378,Carrer de les Corts,
1638,2.128553,41.388767,Avda. Diagonal,
1639,2.125594,41.388031,Avda. Diagonal,
1640,2.130756,41.387381,Europa ,
1641,2.132961,41.389889,Avda. Diagonal,
1642,2.131456,41.389483,Ada. Diagonal,
1643,2.136656,41.390856,Avda. Diagonal,
1644,2.137403,41.391050,Avda. Diagonal,
1645,2.161056,41.385806,DiputaciÃ³,
1646,2.138147,41.374536,Sant Crist,
1647,2.190294,41.398844,Sancho de Ãvila,
1648,2.130331,41.392192,Numancia,
1649,2.135661,41.392508,Doctor Fleming,
1650,2.135033,41.393969,Doctor Fleming,
1651,2.138647,41.394467,Carrer de Francesc PÃ©rez Cabrero,
1652,2.144533,41.396814,Madrazo,
1653,2.143525,41.398986,Rector Ubach,
1654,2.183231,41.404142,Consell de Cent,
1655,2.147625,41.397825,Carre Laforja,
1656,2.151528,41.396261,Tuset,
1657,2.152528,41.402547,Gran de GrÃ cia,
1658,2.157489,41.401247,Carrer del CanÃ³,
1659,2.159881,41.398314,Carrer de Bonavista,
1660,2.165525,41.399092,Girona,
1661,2.160747,41.401806,Pl. del Poble RomanÃ­,
1662,2.161133,41.403469,Montmany,
1663,2.158697,41.407822,PlaÃ§a Rovira i Trias,
1664,2.155800,41.406936,Pl. Del Nord,
